product_id,product_name,category,subcategory,collection,width_mm,depth_mm,height_mm,width_available,depth_available,height_available,rough_in_mm,rough_in_available,installation_type,waste_outlet,electrical_required,voltage,power_w,power_available,material,color,feature_count,spatial_validation_possible,data_quality
K-3983IN-S,"Reach™ One-piece round-front toilet with skirted trapway, dual-flush",Toilet,One-piece round-front toilet,Reach™,-1.0,-1.0,391.0,False,False,True,305.0,True,Floor-mount,Floor,False,Not specified,-1.0,False,Plastic seat,White,9,False,complete_with_unspecified_source_fields
K-5373IN,Forefront™ 580 mm rectangular vessel bathroom sink,Bathroom sink,Vessel,Forefront™,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Semi-recessed vessel,Not specified,False,Not specified,-1.0,False,Vitreous china,"White, Cashmere, Black",4,False,complete_with_unspecified_source_fields
K-5684IN-4ND,"Aleo+™ Wall-mount bathroom sink faucet trim, 9.0 lpm",Faucet Trim,Wall-mount bathroom sink faucet trim,Aleo+,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Wall-mount,Not specified,False,Not specified,-1.0,False,Premium material construction,"Polished Chrome, Vibrant® French Gold, Vibrant® Brushed Nickel, Vibrant® Brushed Bronze, Matte Black, Vibrant Brushed Rose Gold",8,False,complete_with_unspecified_source_fields
K-72298IN-4ND,"Aleo® Tall single-handle bathroom sink faucet, 8.9 lpm",Faucet,Bathroom sink faucet,Aleo™,-1.0,-1.0,-1.0,False,False,False,-1.0,False,single-hole,Not specified,False,Not specified,-1.0,False,Premium metal,"Polished Chrome, Vibrant® Brushed Bronze, Vibrant Rose Gold, Vibrant Brushed Rose Gold",10,False,complete_with_unspecified_source_fields
K-72337IN-4ND,"Aleo+™ Tall single-handle bathroom sink faucet, 14.0 lpm",Faucet,Bathroom sink faucet,Aleo+,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Deck-mount,Not specified,False,Not specified,-1.0,False,Premium metal,"Polished Chrome, Vibrant® French Gold, Vibrant® Brushed Nickel, Vibrant® Brushed Bronze, Matte Black, Vibrant Rose Gold, Vibrant Brushed Rose Gold",7,False,complete_with_unspecified_source_fields
K-75374IN-1,"Forefront™ 460 mm square vessel bathroom sink with glazed underside, no overflow",Bathroom sink,Vessel sink,Forefront™,460.0,460.0,-1.0,True,True,False,-1.0,False,Semi-recessed vessel,Not specified,False,Not specified,-1.0,False,Vitreous china,White,8,False,complete_with_unspecified_source_fields
K-75375IN,"Forefront™ 890 mm rectangular vessel bathroom sink, no overflow",Bathroom sink,Vessel sink,Forefront™,-1.0,-1.0,120.0,False,False,True,-1.0,False,Vessel,Not specified,False,Not specified,-1.0,False,Vitreous china,White,6,False,complete_with_unspecified_source_fields
K-75377IN-4,"July™ Single-handle bathroom sink faucet, cold only, 27.0 lpm",Bathroom sink faucet,Not specified,July™,-1.0,-1.0,-1.0,False,False,False,-1.0,False,"Single-hole, Deck-mount",Not specified,False,Not specified,-1.0,False,Premium material,"Polished Chrome, Vibrant® French Gold, Vibrant® Brushed Nickel",10,False,complete_with_unspecified_source_fields
K-77364IN,"Health faucet, 8.5 lpm",Faucet,Not specified,Luxe™,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Wall-mount,Not specified,False,Not specified,-1.0,False,Antimicrobial silicone,Polished Chrome,5,False,complete_with_unspecified_source_fields
K-97258IN-ZZ,"Elate™ Single-function health faucet, 8.5 lpm",Faucet,Health faucet,Not specified,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Wall-mount,Not specified,False,Not specified,-1.0,False,Premium material construction for durability and reliability,"Vibrant® French Gold, Vibrant® Brushed Bronze, Matte Black, Vibrant Rose Gold, Vibrant Brushed Rose Gold",6,False,complete_with_unspecified_source_fields
K-97258IN,"Elate™ Single-function health faucet, 8.5 lpm",Faucet,Not specified,Not specified,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Wall-mount,Not specified,False,Not specified,-1.0,False,Premium material construction for durability and reliability,"Polished Chrome, Matte Black",6,False,complete_with_unspecified_source_fields
K-97347T-4,Avid™ Tall Single-handle bathroom sink faucet,Faucet,Single-handle,Avid™ Tall,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Not specified,Not specified,False,Not specified,-1.0,False,Brass,Polished Chrome,6,False,complete_with_unspecified_source_fields
K-98100IN-ZZ,"Beam™ Health faucet, 10 lpm",Faucet,Health faucet,Not specified,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Wall-mount,Not specified,False,Not specified,-1.0,False,Premium material,Matte Black,5,False,complete_with_unspecified_source_fields
K-98100IN,"Cuff™ Single-function health faucet, 11.5 lpm",Faucet,Health faucet,Not specified,-1.0,-1.0,-1.0,False,False,False,-1.0,False,Wall-mount,Not specified,False,Not specified,-1.0,False,Premium material construction,"Polished Chrome, White",5,False,complete_with_unspecified_source_fields
