pdf,product_id,product_name,category,status,validation_problems
K-17629T-NS_spec_IN_Kohler_en.pdf,K-17629T-NS,"Ove™ One-piece round-front toilet with skirted trapway, dual-flush",Toilet,success,Missing width; Missing depth
K-17660T-M_spec_IN_Kohler_en.pdf,K-17660T-M,Ove™ Quiet-Close™ elongated toilet seat,Toilet Seat,success,Missing width; Missing depth; Missing height
K-1851IN_spec_IN_Kohler_en.pdf,K-1851IN,Brive Plus,,success,Missing category; Missing width; Missing depth
K-1853IN_spec_IN_Kohler_en.pdf,K-1853IN,Brive Plus,,success,Missing category; Missing width; Missing depth
K-1855IN_spec_IN_Kohler_en.pdf,,,,failed,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01kvzjzwdmftpb78y72tp6e99t` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5952, Requested 2142. Please try again in 705ms. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
K-21226IN_spec_IN_Kohler_en.pdf,K-21226IN,"ModernLife Edge 600 mm rectangular vessel bathroom sink, no overflow",Sink,success,Missing height
K-2200IN_spec_IN_Kohler_en.pdf,K-2200IN,Conical Bell™,Sink,success,Missing depth; Missing height
K-2215IN-2_spec_IN_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/dimensions`: expected object, but got null, `/electrical`: expected object, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Sink"",\n  ""collection"": ""Ladena™"",\n  ""product_name"": ""Ladena™ 581 mm rectangular undercounter bathroom sink"",\n  ""product_id"": ""K-2215IN-2"",\n  ""color"": [""White"", ""Black""],\n  ""material"": ""Vitreous china"",\n  ""features"": [\n    ""Rectangular basin with curved bottom"",\n    ""No faucet holes; requires wall- or deck-mount faucet"",\n    ""Offset drain increases workspace in the sink and storage space underneath"",\n    ""With overflow"",\n    ""Basin configuration: Single Bowl""\n  ],\n  ""installation"": {\n    ""type"": ""Undercounter""\n  },\n  ""dimensions"": null,\n  ""electrical"": null,\n  ""subcategory"": null,\n  ""collection"": ""Ladena™""\n}}'}}"
K-23486IN-4ND_spec_IN_Kohler_en.pdf,K-23486IN-4ND,"Parallel™ Wall-mount bathroom sink faucet, 9.0 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-23966IN-4ND_spec_IN_Kohler_en.pdf,K-23966IN-4ND,"KOHLER VIVE® Single-handle bathroom sink faucet, 7.0 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-23967IN-4ND_spec_IN_Kohler_en.pdf,K-23967IN-4ND,"KOHLER VIVE® Tall single-handle bathroom sink faucet, 5.5 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-23975IN-4ND_spec_IN_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/electrical`: expected object, but got null, `/dimensions`: expected object, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Faucet"",\n  ""collection"": ""VIVE"",\n  ""color"": [""Polished Chrome"", ""Vibrant French Gold"", ""Matte Black"", ""Vibrant Rose Gold""],\n  ""dimensions"": null,\n  ""electrical"": null,\n  ""features"": [\n    ""Single handle controls both on/off activation and temperature setting"",\n    ""Spout reach of 6-5/8\\"" (168 mm)"",\n    ""Maximum flow rate of 1.5 gpm (5.5 lpm) at 43.5 psi (3.0 bar)"",\n    ""Premium metal construction for durability and reliability"",\n    ""KOHLER finishes resist corrosion and tarnishing""\n  ],\n  ""installation"": {\n    ""type"": ""Wall-mount"",\n    ""waste_outlet"": ""Drain sold separately""\n  },\n  ""material"": ""Premium metal"",\n  ""product_id"": ""K-23975IN-4ND"",\n  ""product_name"": ""KOHLER VIVE® Wall-mount bathroom sink faucet, 5.5 lpm"",\n  ""subcategory"": ""Wall-mount bathroom sink faucet""\n}}'}}"
K-25316IN_spec_IN_Kohler_en.pdf,K-25316IN,"Span™ 537 mm rectangular vessel bathroom sink with glazed underside, no overflow",Bathroom sink,success,Missing depth; Missing height
K-25318IN_spec_IN_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/electrical`: expected object, but got null, `/dimensions`: expected object, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Sink"",\n  ""subcategory"": ""Vessel"",\n  ""product_id"": ""K-25318IN"",\n  ""product_name"": ""Span™ 471 mm oval vessel bathroom sink with glazed underside, no overflow"",\n  ""material"": ""Vitreous china"",\n  ""color"": [""White""],\n  ""dimensions"": null,\n  ""electrical"": null,\n  ""features"": [\n    ""Minimalist design with thin, rounded edges"",\n    ""Oval basin"",\n    ""Integrated faucet deck provides additional water containment"",\n    ""Single faucet hole at deck center"",\n    ""Without overflow"",\n    ""Glazed underside offers beauty from all angles""\n  ],\n  ""installation"": {\n    ""type"": ""Vessel"",\n    ""rough_in_mm"": null,\n    ""waste_outlet"": null\n  }\n}}'}}"
K-2661IN_spec_IN_Kohler_en.pdf,K-2661IN,Vox™ 413 mm square vessel bathroom sink,Bathroom sink,success,Missing height
K-27477IN-4ND_spec_IN_Kohler_en.pdf,K-27477IN-4ND,"Fore Tri® Single-handle bathroom sink faucet, 19.2 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-27480IN-4ND_spec_IN_Kohler_en.pdf,K-27480IN-4ND,"Fore Line™ Tall single-handle bathroom sink faucet, 11.0 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-27484IN-4_spec_IN_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/dimensions`: expected object, but got null, `/electrical`: expected object, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Faucet"",\n  ""collection"": ""Fore Tri®"",\n  ""color"": [""Polished Chrome""],\n  ""dimensions"": null,\n  ""electrical"": null,\n  ""features"": [\n    ""Sleek and contemporary design"",\n    ""Single handle provides on/off activation and volume control"",\n    ""For use with cold water line only"",\n    ""3.85 inch (98 mm) spout reach"",\n    ""3.32 inch (84 mm) spout height"",\n    ""Aerated flow"",\n    ""4.22 gpm (16.0 lpm) maximum flow rate at 43.5 psi (3.0 bar)"",\n    ""KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance"",\n    ""Premium metal construction for durability and reliability"",\n    ""KOHLER finishes resist corrosion and tarnishing""\n  ],\n  ""installation"": {\n    ""type"": ""Single-hole, Deck-mount""\n  },\n  ""material"": ""Premium metal"",\n  ""product_id"": ""K-27484IN-4"",\n  ""product_name"": ""Fore Tri® Single-handle bathroom sink faucet, cold only"",\n  ""subcategory"": ""Single-handle""\n}}'}}"
K-27485IN-4_spec_IN_Kohler_en.pdf,K-27485IN-4,"Fore Line™ Single-handle bathroom sink faucet, cold only, 18.4 lpm",Faucet,success,Missing width
K-28529IN_spec_IN_Kohler_en.pdf,K-28529IN,"Leap™ One-piece round-front smart toilet, dual-flush",Toilet,success,Missing width; Missing depth
K-28783IN_spec_IN_Kohler_en.pdf,,,,failed,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01kvzjzwdmftpb78y72tp6e99t` service tier `on_demand` on tokens per minute (TPM): Limit 8000, Used 5594, Requested 2472. Please try again in 495ms. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
K-28784IN_spec_IN_Kohler_en.pdf,K-28784IN,"KOHLER VIVE® 552 mm rectangular vessel bathroom sink, no overflow",Bathroom Sink,success,Missing width; Missing depth; Missing height
K-29777IN_spec_IN_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/color`: expected array, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""product_name"": ""Innate™ One-piece elongated smart toilet, dual-flush"",\n  ""product_id"": ""K-29777IN"",\n  ""category"": null,\n  ""subcategory"": null,\n  ""collection"": null,\n  ""color"": null,\n  ""dimensions"": {\n    ""depth_mm"": null,\n    ""height_mm"": null,\n    ""width_mm"": null\n  },\n  ""electrical"": {\n    ""required"": true,\n    ""voltage"": ""220-240 V"",\n    ""power_w"": null\n  },\n  ""features"": [\n    ""Compact, streamlined one-piece smart toilet with integrated personal cleansing"",\n    ""Compact elongated bowl offers added comfort while requiring less space"",\n    ""Dual-flush offers a choice of .92 or 1.32 gpf (3.5 or 5.0 lpf)"",\n    ""Fully skirted trapway simplifies cleaning"",\n    ""Quiet-Close™ elongated lid and seat prevents slamming"",\n    ""Stainless steel wand offers adjustable spray shape, position, water pressure, temperature, pulsate, and oscillate functions"",\n    ""Front and rear wash modes provide warm water for cleansing"",\n    ""Self-cleaning function uses UV light to automatically sanitize the wand surfaces"",\n    ""Motion-activated, hands-free opening/closing of cover"",\n    ""Bowl is automatically misted prior to use for more effective rinsing while flushing"",\n    ""Heated seat with adjustable temperature settings"",\n    ""Warm-air drying system"",\n    ""Automatic deodorization system"",\n    ""LED lighting illuminates the bowl to serve as a nightlight"",\n    ""Energy Save feature monitors usage and adjusts heated seat settings to save energy"",\n    ""Includes complete toilet and seat, supply stop valve, braided inlet supply hose, power cord, and remote control"",\n    ""Mounting hardware is completely concealed, giving a sleek, seamless look that is easy to clean"",\n    ""Automatic flushing after every use; flush can also be controlled by the remote control or backup button""\n  ],\n  ""installation"": {\n    ""rough_in_mm"": 305,\n    ""type"": ""Floor-mount"",\n    ""waste_outlet"": ""Floor""\n  },\n  ""material"": null\n}}'}}"
K-33123IN-HC_spec_IN_Kohler_en.pdf,K-33123IN-HC,"KOHLER VIVE Hidden cord one-piece round-front back-to-wall toilet with skirted trapway, dual-flush",Toilet,success,Missing width; Missing depth
K-3983IN-S_spec_IN_Kohler_en.pdf,K-3983IN-S,"Reach™ One-piece round-front toilet with skirted trapway, dual-flush",Toilet,success,Missing width; Missing depth
K-5373IN_spec_IN_Kohler_en.pdf,K-5373IN,Forefront™ 580 mm rectangular vessel bathroom sink,Bathroom sink,success,Missing width; Missing depth; Missing height
K-5684IN-4ND_spec_IN_Kohler_en.pdf,K-5684IN-4ND,"Aleo+™ Wall-mount bathroom sink faucet trim, 9.0 lpm",Faucet Trim,success,Missing width; Missing depth; Missing height
K-72298IN-4ND_spec_IN_Kohler_en.pdf,K-72298IN-4ND,"Aleo® Tall single-handle bathroom sink faucet, 8.9 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-72337IN-4ND_spec_IN_Kohler_en.pdf,K-72337IN-4ND,"Aleo+™ Tall single-handle bathroom sink faucet, 14.0 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-75374IN-1_spec_IN_Kohler_en.pdf,K-75374IN-1,"Forefront™ 460 mm square vessel bathroom sink with glazed underside, no overflow",Bathroom sink,success,Missing height
K-75375IN_spec_IN_Kohler_en.pdf,K-75375IN,"Forefront™ 890 mm rectangular vessel bathroom sink, no overflow",Bathroom sink,success,Missing width; Missing depth
K-75377IN-4_spec_IN_Kohler_en.pdf,K-75377IN-4,"July™ Single-handle bathroom sink faucet, cold only, 27.0 lpm",Bathroom sink faucet,success,Missing width; Missing depth; Missing height
K-77364IN_spec_IN_Kohler_en.pdf,K-77364IN,"Health faucet, 8.5 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-8688T-S_spec_IN_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/electrical`: expected object, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Toilet"",\n  ""collection"": null,\n  ""color"": [""White""],\n  ""dimensions"": {\n    ""height_mm"": 390,\n    ""depth_mm"": null,\n    ""width_mm"": null\n  },\n  ""electrical"": null,\n  ""features"": [\n    ""One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design"",\n    ""Elongated bowl offers added room and comfort"",\n    ""Rim-to-floor height: 390 mm (15-3/8 inches)"",\n    ""1.28 gpf (4.8 lpf)"",\n    ""Left-hand trip lever"",\n    ""2.3 inch (59 mm) fully glazed trapway"",\n    ""Fully skirted trapway simplifies cleaning"",\n    ""Class Five™ canister optimizes the flow out of the tank, harnessing gravity and the natural powerful reducing cascade of water to increase the power and effectiveness of the flush"",\n    ""French Curve™ seat and lid included"",\n    ""Quiet-Close™ seat with Quick-Release™ functionality closes quietly and quickly unlatches from the toilet for easy removal and convenient cleaning""\n  ],\n  ""installation"": {\n    ""rough_in_mm"": 305,\n    ""type"": ""Floor-mount"",\n    ""waste_outlet"": ""Floor""\n  },\n  ""material"": ""Plastic seat"",\n  ""product_id"": ""K-8688T-S"",\n  ""product_name"": ""San Raphael Grande™"",\n  ""subcategory"": ""One-piece elongated toilet""\n}}'}}"
K-90011T_spec_IN_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/color`: expected array, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Vessel"",\n  ""collection"": null,\n  ""color"": null,\n  ""dimensions"": {\n    ""depth_mm"": null,\n    ""height_mm"": null,\n    ""width_mm"": null\n  },\n  ""electrical"": {\n    ""power_w"": null,\n    ""required"": null,\n    ""voltage"": null\n  },\n  ""features"": [\n    ""Sleek and contemporary design"",\n    ""No faucet holes; requires wall- or counter-mount faucet""\n  ],\n  ""installation"": {\n    ""rough_in_mm"": null,\n    ""type"": ""Drop-in or vessel"",\n    ""waste_outlet"": null\n  },\n  ""material"": ""Vitreous china"",\n  ""product_id"": ""K-90011T"",\n  ""product_name"": ""Mica™ Vessel"",\n  ""subcategory"": null\n}}'}}"
K-97258IN-ZZ_spec_IN_Kohler_en.pdf,K-97258IN-ZZ,"Elate™ Single-function health faucet, 8.5 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-97258IN_spec_IN_Kohler_en.pdf,K-97258IN,"Elate™ Single-function health faucet, 8.5 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-97347T-4_spec_GPS_Kohler_en.pdf,K-97347T-4,Avid™ Tall Single-handle bathroom sink faucet,Faucet,success,Missing width; Missing depth; Missing height
K-98100IN-ZZ_spec_IN_Kohler_en.pdf,K-98100IN-ZZ,"Beam™ Health faucet, 10 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-98100IN_spec_IN_Kohler_en.pdf,K-98100IN,"Cuff™ Single-function health faucet, 11.5 lpm",Faucet,success,Missing width; Missing depth; Missing height
K-98930X-1_spec_GPS_Kohler_en.pdf,,,,failed,"Error code: 400 - {'error': {'message': 'Tool call validation failed: tool call validation failed: parameters for tool Product did not match schema: errors: [`/installation`: expected object, but got null, `/electrical`: expected object, but got null, `/color`: expected array, but got null]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '{""name"": ""Product"", ""arguments"": {\n  ""category"": ""Sink"",\n  ""collection"": ""Forefront™"",\n  ""product_id"": ""K-98930X-1"",\n  ""product_name"": ""Forefront™ Semi-Recessed Bathroom Sink"",\n  ""subcategory"": ""Semi-Recessed"",\n  ""color"": null,\n  ""material"": ""Vitreous china"",\n  ""dimensions"": {\n    ""width_mm"": 332,\n    ""depth_mm"": 392,\n    ""height_mm"": null\n  },\n  ""features"": [\n    ""Symmetrical, square deep basin with rounded edges in true minimalist fashion"",\n    ""Single-hole faucet installation""\n  ],\n  ""installation"": null,\n  ""electrical"": null\n}}'}}"
