product_id,product_name,category,subcategory,collection,width_mm,depth_mm,height_mm,rough_in_mm,installation_type,waste_outlet,electrical_required,voltage,power_w,material,color,features
K-23967IN-4ND,"KOHLER VIVE® Tall single-handle bathroom sink faucet, 5.5 lpm",Faucet,Tall single-handle bathroom sink faucet,VIVE,-1.0,-1.0,-1.0,-1.0,Single hole,Drain sold separately,False,Not specified,-1.0,Premium metal construction,"['Polished Chrome', 'Vibrant® French Gold', 'Matte Black', 'Vibrant Rose Gold']","['Single handle controls both on/off activation and temperature setting', '7.19 inch (183 mm) spout height', '5.16 inch (131 mm) spout reach', '1.5 gpm (5.5 lpm) maximum flow rate at 43.5 psi (3.0 bar)', 'KOHLER finishes resist corrosion and tarnishing']"
K-25316IN,"Span™ 537 mm rectangular vessel bathroom sink with glazed underside, no overflow",Bathroom sink,Vessel sink,Not specified,537.0,-1.0,-1.0,-1.0,Vessel,Not specified,False,Not specified,-1.0,Vitreous china,['White'],"['Minimalist design with thin, rounded edges', 'Rectangular basin', 'Integrated faucet deck provides additional water containment', 'Single faucet hole at deck center', 'Without overflow', 'Glazed underside offers beauty from all angles']"
K-2661IN,Vox™ 413 mm square vessel bathroom sink,Bathroom sink,Vessel,Vox™,413.0,413.0,-1.0,-1.0,Semi-recessed vessel,Not specified,False,Not specified,-1.0,Vitreous china,"['White', 'Black']","['Deep square basin with a contemporary design minimizes splash', 'No faucet holes; requires wall- or deck-mount faucet', 'Center drain', 'With overflow and overflow cover']"
K-27477IN-4ND,"Fore Tri® Single-handle bathroom sink faucet, 19.2 lpm",Faucet,Single-handle bathroom sink faucet,Not specified,-1.0,-1.0,-1.0,-1.0,Deck-mount,Not specified,False,Not specified,-1.0,Premium material,['Polished Chrome'],"['Sleek and contemporary design', 'Single handle provides on/off activation, volume, and temperature control', 'Red/blue indexing on handle', '3.94 inch (100 mm) spout reach', '5.81 inch (148 mm) spout height', 'Aerated flow', '5.08 gpm (19.2 lpm) maximum flow rate at 80 psi (5.5 bar)', 'KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance', 'Drain sold separately']"
K-27480IN-4ND,"Fore Line™ Tall single-handle bathroom sink faucet, 11.0 lpm",Faucet,Bathroom sink faucet,Fore Line™,-1.0,-1.0,-1.0,-1.0,Deck-mount,Not specified,False,Not specified,-1.0,Premium material,"['Polished Chrome', 'Vibrant® French Gold']","['Single handle provides on/off activation, volume, and temperature control', 'Red/blue indexing on handle', '124 mm (4.87 inch) spout reach', '200 mm (7.88 inch) spout height', 'Tall height is ideal for vessel-style sinks', '2.9 gpm (11.0 lpm) maximum flow rate at 80 psi (5.5 bar)', 'Aerated flow', 'KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance', 'Drain sold separately']"
K-27485IN-4,"Fore Line™ Single-handle bathroom sink faucet, cold only, 18.4 lpm",Faucet,Not specified,Fore Line™,-1.0,96.0,86.0,-1.0,"Deck-mount, single-hole installation",Not specified,False,Not specified,-1.0,Premium metal construction,"['Polished Chrome', 'Vibrant® French Gold']","['For use with cold water line only', 'Single handle provides on/off activation and volume control', '86 mm (3.4 inch) spout height', '96 mm (3.76 inch) spout reach', '4.22 gpm (16.0 lpm) maximum flow rate at 43.5 psi (3.0 bar)', 'KOHLER ceramic disc valves exceed industry longevity standards by over two times, ensuring durable performance for life', 'Drain sold separately', 'Includes installation hardware', 'Premium metal construction for durability and reliability', 'KOHLER finishes resist corrosion and tarnishing']"
K-28529IN,"Leap™ One-piece round-front smart toilet, dual-flush",Toilet,One-piece round-front smart toilet,Not specified,-1.0,-1.0,400.0,305.0,Floor-mount,Floor,True,220-240 V,1200.0,Plastic seat,['White'],"['One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design', 'Round-front bowl offers an ideal solution for smaller bathrooms and powder rooms', 'Dual-flush offers a choice of 0.8 or 1.2 gpf (3.0 or 4.5 lpf)', 'Touchless technology allows hands-free operation to actuate the flush', 'Automatic flushing after every use; flush can also be controlled by the remote control or backup button', 'Manual flush button on control panel', 'Fully skirted trapway simplifies cleaning', '1.9 inch (49 mm) fully glazed trapway', 'Includes bidet seat', 'Quiet-Close™ functionality to prevent seat from slamming', 'Grip-Tight bumpers hold seat firmly in place', 'Stainless steel wand offers adjustable spray shape, position, water pressure, temperature, pulsate, and oscillate functions', 'Front and rear wash modes provide warm water for cleansing', 'Self-cleaning function uses UV light to automatically sanitize the wand surfaces', 'Motion-activated, hands-free opening/closing of cover', 'Warm-air drying system', 'Heated seat with adjustable temperature settings', 'Seat features automatic deodorization', 'Energy Save feature monitors usage and adjusts heated seat settings to save energy']"
K-28784IN,"KOHLER VIVE® 552 mm rectangular vessel bathroom sink, no overflow",Bathroom Sink,Vessel,Not specified,-1.0,-1.0,-1.0,-1.0,Semi-recessed vessel,Not specified,False,Not specified,-1.0,Vitreous china,"['White', 'Cashmere', 'Black', 'Indigo Gloss', 'Teak Berry']","['Rectangular basin with rounded corners', 'Sleek and contemporary design', 'Unique front slotted drain creates a sleek look', 'Hidden drain connector maintains design continuity', 'Without overflow', 'No faucet holes; requires wall- or tall counter-mount faucet']"
K-33123IN-HC,"KOHLER VIVE Hidden cord one-piece round-front back-to-wall toilet with skirted trapway, dual-flush",Toilet,Not specified,Vive,-1.0,-1.0,400.0,220.0,Floor-mount,Floor,False,Not specified,-1.0,Not specified,['White'],"['One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design', 'Round-front bowl', 'Back-to-wall design prevents dirt buildup for improved hygiene', 'Rimless design makes toilet bowl more hygienic and easier to clean', 'Top-mount polished chrome dual-flush button offers a choice of 3.0 or 4.5 lpf (0.8 or 1.28 gpf)', '60 mm fully glazed trapway', 'Fully skirted trapway simplifies cleaning and looks elegant', 'Washdown flushing system', 'Coordinates with other products in the Vive collection', 'Hidden cord design conceals bidet seat cords (bidet seat sold separately)', 'Compatible with PureWash manual bidet seat']"
K-3983IN-S,"Reach™ One-piece round-front toilet with skirted trapway, dual-flush",Toilet,One-piece round-front toilet,Reach™,-1.0,-1.0,391.0,305.0,Floor-mount,Floor,False,Not specified,-1.0,Plastic seat,['White'],"['One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design', 'Round-front bowl offers an ideal solution for smaller bathrooms and powder rooms', 'Top-mount polished chrome dual-flush button offers a choice of 1.0 or 1.28 gpf (3.3 or 4.8 lpf)', 'Class Five™ flushing technology provides powerful flushing performance and best-in-class bowl cleanliness', '2.44 inch (62 mm) fully glazed trapway', 'Fully skirted trapway simplifies cleaning', 'Round-front seat with lid', 'Quiet-Close™ functionality to prevent seat from slamming', 'Coordinates with other products in the Reach™ collection']"
K-5373IN,Forefront™ 580 mm rectangular vessel bathroom sink,Bathroom sink,Vessel,Forefront™,-1.0,-1.0,-1.0,-1.0,Semi-recessed vessel,Not specified,False,Not specified,-1.0,Vitreous china,"['White', 'Cashmere', 'Black']","['Deep rectangular basin with a contemporary design minimizes splash', 'No faucet holes; requires wall- or deck-mount faucet', 'Center drain', 'With overflow and overflow cover']"
K-5684IN-4ND,"Aleo+™ Wall-mount bathroom sink faucet trim, 9.0 lpm",Faucet Trim,Wall-mount bathroom sink faucet trim,Aleo+,-1.0,-1.0,-1.0,-1.0,Wall-mount,Not specified,False,Not specified,-1.0,Premium material construction,"['Polished Chrome', 'Vibrant® French Gold', 'Vibrant® Brushed Nickel', 'Vibrant® Brushed Bronze', 'Matte Black', 'Vibrant Brushed Rose Gold']","['Sleek contemporary design', 'Single Lever handle allows for on/off activation, volume, and temperature control', '160 mm (6.3 inch) spout reach', 'Aerated flow', '9.0 lpm (2.38 gpm) maximum flow rate at 3.0 bar (43.5 psi)', 'Drain sold separately', 'Premium material construction for durability and reliability', 'KOHLER finishes resist corrosion and tarnishing']"
K-72298IN-4ND,"Aleo® Tall single-handle bathroom sink faucet, 8.9 lpm",Faucet,Bathroom sink faucet,Aleo™,-1.0,-1.0,-1.0,-1.0,single-hole,Not specified,False,Not specified,-1.0,Premium metal,"['Polished Chrome', 'Vibrant® Brushed Bronze', 'Vibrant Rose Gold', 'Vibrant Brushed Rose Gold']","['Tall height is ideal for vessel-style sinks', 'Single Lever handle allows for on/off activation, volume, and temperature control', 'Aerated flow', '160 mm (6.3 inch) spout reach', '212 mm (8.33 inch) spout height', '8.33 inch (212 mm) spout height', '2.37 gpm (8.9 lpm) maximum flow rate at 60 psi (4.14 bar)', 'KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance', 'Coordinates with other products in the Aleo™ collection', 'Drain sold separately']"
K-72337IN-4ND,"Aleo+™ Tall single-handle bathroom sink faucet, 14.0 lpm",Faucet,Bathroom sink faucet,Aleo+,-1.0,-1.0,-1.0,-1.0,Deck-mount,Not specified,False,Not specified,-1.0,Premium metal,"['Polished Chrome', 'Vibrant® French Gold', 'Vibrant® Brushed Nickel', 'Vibrant® Brushed Bronze', 'Matte Black', 'Vibrant Rose Gold', 'Vibrant Brushed Rose Gold']","['Tall height is ideal for vessel-style sinks', 'Single Lever handle allows for on/off activation, volume, and temperature control', '6.22 inch (158 mm) spout reach', '8.31 inch (211 mm) spout height', '14.0 lpm (3.69 gpm) maximum flow rate at 3.0 bar (43.5 psi)', 'Aerated flow', 'KOHLER ceramic disc valves exceed industry longevity standards by over two times, ensuring durable performance for life']"
K-75374IN-1,"Forefront™ 460 mm square vessel bathroom sink with glazed underside, no overflow",Bathroom sink,Vessel sink,Forefront™,460.0,460.0,-1.0,-1.0,Semi-recessed vessel,Not specified,False,Not specified,-1.0,Vitreous china,['White'],"['Contemporary design makes a modern statement', 'Square basin', 'Rounded corners are easy to clean', 'An integrated faucet deck provides additional water containment', 'Single faucet hole at deck center', 'Without overflow', 'Glazed underside offers beauty from all angles', 'Coordinates with other products in the Forefront™ collection']"
K-75375IN,"Forefront™ 890 mm rectangular vessel bathroom sink, no overflow",Bathroom sink,Vessel sink,Forefront™,-1.0,-1.0,120.0,-1.0,Vessel,Not specified,False,Not specified,-1.0,Vitreous china,['White'],"['Contemporary design makes a modern statement', 'Elongated, rectangular basin', 'Shallow basin creates a sleek look', 'No faucet holes; requires wall- or deck-mount faucet', 'Without overflow', 'Coordinates with other products in the Forefront™ collection']"
K-75377IN-4,"July™ Single-handle bathroom sink faucet, cold only, 27.0 lpm",Bathroom sink faucet,Not specified,July™,-1.0,-1.0,-1.0,-1.0,"Single-hole, Deck-mount",Not specified,False,Not specified,-1.0,Premium material,"['Polished Chrome', 'Vibrant® French Gold', 'Vibrant® Brushed Nickel']","['Versatile modern design', 'Single Lever handle provides on/off activation and volume control', 'For use with cold water line only', '90 mm (3.5 inch) spout reach', '75 mm (2.95 inch) spout height', 'Aerated flow', '27.0 lpm (7.13 gpm) maximum flow rate at 3.0 bar (43.5 psi)', 'KOHLER® ceramic disc valves exceed industry longevity standards for a lifetime of durable performance', 'Premium material construction for durability and reliability', 'KOHLER finishes resist corrosion and tarnishing']"
K-77364IN,"Health faucet, 8.5 lpm",Faucet,Not specified,Luxe™,-1.0,-1.0,-1.0,-1.0,Wall-mount,Not specified,False,Not specified,-1.0,Antimicrobial silicone,['Polished Chrome'],"['Ergonomic, easy clean design', 'Optimized sprayface for maximum performance', ""Precision flow control meets all user needs regardless of your home's water pressure"", '8.5 lpm (2.25 gpm) maximum flow rate at 3.0 bar (43.5 psi)', 'Includes 1200 mm (47.24 inch) hose and wall-mount holder']"
K-97258IN-ZZ,"Elate™ Single-function health faucet, 8.5 lpm",Faucet,Health faucet,Not specified,-1.0,-1.0,-1.0,-1.0,Wall-mount,Not specified,False,Not specified,-1.0,Premium material construction for durability and reliability,"['Vibrant® French Gold', 'Vibrant® Brushed Bronze', 'Matte Black', 'Vibrant Rose Gold', 'Vibrant Brushed Rose Gold']","['Single-function hygiene spray delivers a full, consistent stream, regardless of water pressure', 'Soft spray pattern', 'Ergonomic button design', '2.25 gpm (8.5 lpm) maximum flow rate at 43.5 psi (3.0 bar)', 'Includes 59.06 inch (1500 mm) smooth hose and wall-mount holder', 'Includes a screen washer to prevent clogging']"
K-97258IN,"Elate™ Single-function health faucet, 8.5 lpm",Faucet,Not specified,Not specified,-1.0,-1.0,-1.0,-1.0,Wall-mount,Not specified,False,Not specified,-1.0,Premium material construction for durability and reliability,"['Polished Chrome', 'Matte Black']","['Single-function hygiene spray delivers a full, consistent stream, regardless of water pressure', 'Soft spray pattern', 'Ergonomic button design', '2.25 gpm (8.5 lpm) maximum flow rate at 43.5 psi (3.0 bar)', 'Includes 1200 mm (47.24 inch) hose and wall-mount holder', 'Includes a screen washer to prevent clogging']"
K-97347T-4,Avid™ Tall Single-handle bathroom sink faucet,Faucet,Single-handle,Avid™ Tall,-1.0,-1.0,-1.0,-1.0,Not specified,Not specified,False,Not specified,-1.0,Brass,['Polished Chrome'],"['KOHLER ceramic disc valves exceed industry longevity standards for a lifetime of durable performance', 'Lever handle', 'Spout reach 148 mm', 'Includes flexible G 1/2 supply hoses for easy installation', 'Includes drain', 'Directionally adjustable, laminar-flow aerator']"
K-98100IN-ZZ,"Beam™ Health faucet, 10 lpm",Faucet,Health faucet,Not specified,-1.0,-1.0,-1.0,-1.0,Wall-mount,Not specified,False,Not specified,-1.0,Premium material,['Matte Black'],"['Contemporary styling matches any decor', 'Easy grip design with special anti-slipping features', 'Single-function hygiene spray delivers a full, consistent stream, regardless of water pressure', '10.0 lpm (2.64 gpm) maximum flow rate at 3.0 bar (43.5 psi)', 'Includes 59-1/16"" (1500 mm) hose and wall-mount holder']"
K-98100IN,"Cuff™ Single-function health faucet, 11.5 lpm",Faucet,Health faucet,Not specified,-1.0,-1.0,-1.0,-1.0,Wall-mount,Not specified,False,Not specified,-1.0,Premium material construction,"['Polished Chrome', 'White']","['Contemporary styling matches any decor', 'Easy grip design with special anti-slipping features', 'Single-function hygiene spray delivers a full, consistent stream, regardless of water pressure', '3.04 gpm (11.5 lpm) maximum flow rate at 58.02 psi (4 bar)', 'Includes 59.06 inch (1500 mm) smooth hose and wall-mount holder']"
